"Volcano_Number","Volcano_Name","Country","Elevation_(m)","Tectonic_Setting","eruption_count","risk_score"
300110,"Dzenzursky","Russia",2285,"Subduction zone / Continental crust (>25 km)",0,0
300120,"Zhupanovsky","Russia",2899,"Subduction zone / Continental crust (>25 km)",16,16
300121,"Veer","Russia",520,"Subduction zone / Continental crust (>25 km)",1,1
300122,"Kostakan","Russia",1150,"Subduction zone / Continental crust (>25 km)",6,6
300123,"Bakening","Russia",2278,"Subduction zone / Continental crust (>25 km)",5,5
300124,"Zavaritsky","Russia",1567,"Subduction zone / Continental crust (>25 km)",2,2
300125,"Akademia Nauk","Russia",1180,"Subduction zone / Continental crust (>25 km)",4,4
300130,"Karymsky","Russia",1513,"Subduction zone / Continental crust (>25 km)",54,54
300140,"Maly Semyachik","Russia",1527,"Subduction zone / Continental crust (>25 km)",23,23
300150,"Bolshoi Semiachik","Russia",1720,"Subduction zone / Continental crust (>25 km)",2,2
300160,"Taunshits","Russia",2301,"Subduction zone / Continental crust (>25 km)",2,2
300170,"Uzon","Russia",1617,"Subduction zone / Continental crust (>25 km)",4,4
300180,"Kikhpinych","Russia",1515,"Subduction zone / Continental crust (>25 km)",8,8
300190,"Krasheninnikov","Russia",1816,"Subduction zone / Continental crust (>25 km)",31,31
300200,"Kronotsky","Russia",3482,"Subduction zone / Continental crust (>25 km)",3,3
300210,"Gamchen","Russia",2539,"Subduction zone / Continental crust (>25 km)",2,2
300220,"Komarov","Russia",2065,"Subduction zone / Continental crust (>25 km)",2,2
300221,"Vysoky","Russia",2129,"Subduction zone / Continental crust (>25 km)",1,1
300230,"Kizimen","Russia",2334,"Subduction zone / Continental crust (>25 km)",11,11
300240,"Tolbachik","Russia",3611,"Subduction zone / Continental crust (>25 km)",58,58
300241,"Udina","Russia",2886,"Subduction zone / Continental crust (>25 km)",0,0
300242,"Zimina","Russia",3057,"Subduction zone / Continental crust (>25 km)",0,0
300250,"Bezymianny","Russia",2882,"Subduction zone / Continental crust (>25 km)",69,69
300251,"Kamen","Russia",4585,"Subduction zone / Continental crust (>25 km)",0,0
300260,"Klyuchevskoy","Russia",4754,"Subduction zone / Continental crust (>25 km)",111,111
300261,"Ushkovsky","Russia",3943,"Subduction zone / Continental crust (>25 km)",3,3
300270,"Sheveluch","Russia",3283,"Subduction zone / Continental crust (>25 km)",102,102
300271,"Piip","Russia",-300,"Subduction zone / Intermediate crust (15-25 km)",1,1
300272,"Khangar","Russia",1967,"Subduction zone / Continental crust (>25 km)",10,10
300273,"Cherpuk Group","Russia",1868,"Subduction zone / Continental crust (>25 km)",1,1
300280,"Ichinsky","Russia",3596,"Subduction zone / Continental crust (>25 km)",14,14
300360,"Bolshoi-Kekuknaysky","Russia",1401,"Subduction zone / Continental crust (>25 km)",1,1
300450,"Alney-Chashakondzha","Russia",2570,"Subduction zone / Continental crust (>25 km)",3,3
300511,"Shisheika","Russia",355,"Subduction zone / Continental crust (>25 km)",1,1
300512,"Terpuk","Russia",765,"Subduction zone / Continental crust (>25 km)",1,1
300520,"Sedanka Lava Field","Russia",1399,"Subduction zone / Continental crust (>25 km)",1,1
300550,"Gorny Institute","Russia",2125,"Subduction zone / Continental crust (>25 km)",3,3
300551,"Kinenin","Russia",583,"Subduction zone / Continental crust (>25 km)",1,1
300552,"Bliznetsy","Russia",265,"Subduction zone / Continental crust (>25 km)",1,1
300560,"Titila","Russia",1523,"Subduction zone / Continental crust (>25 km)",1,1
300590,"Elovsky","Russia",1381,"Subduction zone / Continental crust (>25 km)",1,1
300650,"Nylgimelkin","Russia",1764,"Subduction zone / Continental crust (>25 km)",1,1
300671,"Spokoiny","Russia",2171,"Subduction zone / Continental crust (>25 km)",1,1
300680,"Ostry","Russia",2552,"Subduction zone / Continental crust (>25 km)",1,1
300700,"Severny","Russia",1936,"Subduction zone / Continental crust (>25 km)",1,1
302030,"Udokan Plateau","Russia",2180,"Rift zone / Continental crust (>25 km)",5,5
302040,"Vitim Volcanic Field","Russia",1250,"Unknown",0,0
302050,"Tunkin Depression","Russia",1200,"Rift zone / Continental crust (>25 km)",0,0
302060,"Jom-Bolok","Russia",2047,"Rift zone / Continental crust (>25 km)",1,1
302070,"Azas Plateau","Russia",2765,"Rift zone / Continental crust (>25 km)",0,0
303010,"Taryatu-Chulutu","Mongolia",2326,"Intraplate / Continental crust (>25 km)",1,1
303020,"Khanuy Gol","Mongolia",1886,"Intraplate / Continental crust (>25 km)",0,0
303040,"Dariganga Volcanic Field","Mongolia",1778,"Intraplate / Continental crust (>25 km)",0,0
304030,"Ashikule Volcanic Field","China",5090,"Intraplate / Continental crust (>25 km)",1,1
305010,"Honggeertu","China",1605,"Intraplate / Continental crust (>25 km)",0,0
305011,"Arxan-Chaihe","China",1677,"Intraplate / Continental crust (>25 km)",1,1
305020,"Keluo Group","China",670,"Intraplate / Continental crust (>25 km)",0,0
305030,"Wudalianchi","China",597,"Intraplate / Continental crust (>25 km)",2,2
305040,"Jingpohu","China",1000,"Intraplate / Continental crust (>25 km)",3,3
305050,"Longgang Group","China",1000,"Intraplate / Continental crust (>25 km)",1,1
305060,"Changbaishan","China-North Korea",2744,"Intraplate / Continental crust (>25 km)",7,7
306020,"Ch'uga-ryong","North Korea-South Korea",452,"Intraplate / Continental crust (>25 km)",0,0
306030,"Ulleungdo","South Korea",984,"Intraplate / Continental crust (>25 km)",3,3
306040,"Halla","South Korea",1919,"Intraplate / Continental crust (>25 km)",4,4
311010,"Buldir","United States",656,"Subduction zone / Intermediate crust (15-25 km)",0,0
311020,"Kiska","United States",1220,"Subduction zone / Intermediate crust (15-25 km)",4,4
311030,"Segula","United States",1160,"Subduction zone / Intermediate crust (15-25 km)",0,0
311040,"Davidof","United States",328,"Subduction zone / Intermediate crust (15-25 km)",0,0
311050,"Little Sitkin","United States",1174,"Subduction zone / Intermediate crust (15-25 km)",2,2
311060,"Semisopochnoi","United States",1221,"Subduction zone / Intermediate crust (15-25 km)",6,6
311070,"Gareloi","United States",1573,"Subduction zone / Intermediate crust (15-25 km)",12,12
311080,"Tanaga","United States",1806,"Subduction zone / Intermediate crust (15-25 km)",6,6
311090,"Takawangha","United States",1449,"Subduction zone / Intermediate crust (15-25 km)",1,1
311100,"Bobrof","United States",738,"Subduction zone / Intermediate crust (15-25 km)",0,0
311110,"Kanaga","United States",1307,"Subduction zone / Intermediate crust (15-25 km)",18,18
311111,"Moffett","United States",1196,"Subduction zone / Intermediate crust (15-25 km)",3,3
311120,"Great Sitkin","United States",1740,"Subduction zone / Intermediate crust (15-25 km)",9,9
311130,"Kasatochi","United States",314,"Subduction zone / Intermediate crust (15-25 km)",2,2
311140,"Koniuji","United States",273,"Subduction zone / Intermediate crust (15-25 km)",3,3
311160,"Atka Volcanic Complex","United States",1518,"Subduction zone / Intermediate crust (15-25 km)",11,11
311180,"Seguam","United States",1054,"Subduction zone / Intermediate crust (15-25 km)",11,11
311190,"Amukta","United States",1066,"Subduction zone / Intermediate crust (15-25 km)",5,5
311200,"Chagulak","United States",1142,"Subduction zone / Intermediate crust (15-25 km)",0,0
311210,"Yunaska","United States",550,"Subduction zone / Intermediate crust (15-25 km)",3,3
311220,"Herbert","United States",1280,"Subduction zone / Intermediate crust (15-25 km)",0,0
311230,"Carlisle","United States",1620,"Subduction zone / Intermediate crust (15-25 km)",2,2
311240,"Cleveland","United States",1730,"Subduction zone / Intermediate crust (15-25 km)",22,22
311241,"Tana","United States",1170,"Subduction zone / Intermediate crust (15-25 km)",0,0
311250,"Uliaga","United States",888,"Subduction zone / Intermediate crust (15-25 km)",0,0
311260,"Kagamil","United States",893,"Subduction zone / Intermediate crust (15-25 km)",1,1
311270,"Vsevidof","United States",2149,"Subduction zone / Intermediate crust (15-25 km)",3,3
311280,"Recheschnoi","United States",1984,"Subduction zone / Intermediate crust (15-25 km)",0,0
311290,"Okmok","United States",1073,"Subduction zone / Intermediate crust (15-25 km)",18,18
311300,"Bogoslof","United States",150,"Subduction zone / Intermediate crust (15-25 km)",9,9
311310,"Makushin","United States",1800,"Subduction zone / Intermediate crust (15-25 km)",19,19
311320,"Akutan","United States",1303,"Subduction zone / Intermediate crust (15-25 km)",40,40
311340,"Westdahl","United States",1563,"Subduction zone / Continental crust (>25 km)",7,7
311350,"Fisher","United States",1112,"Subduction zone / Continental crust (>25 km)",6,6
311360,"Shishaldin","United States",2857,"Subduction zone / Continental crust (>25 km)",40,40
311380,"Roundtop","United States",1871,"Subduction zone / Continental crust (>25 km)",1,1
311390,"Amak","United States",547,"Subduction zone / Continental crust (>25 km)",3,3
312010,"Frosty","United States",1728,"Subduction zone / Continental crust (>25 km)",0,0
312011,"Dutton","United States",1465,"Subduction zone / Continental crust (>25 km)",0,0
312020,"Emmons Lake Volcanic Center","United States",1534,"Subduction zone / Continental crust (>25 km)",0,0
312030,"Pavlof","United States",2493,"Subduction zone / Continental crust (>25 km)",44,44
312040,"Pavlof Sister","United States",2142,"Subduction zone / Continental crust (>25 km)",0,0
312050,"Dana","United States",1354,"Subduction zone / Continental crust (>25 km)",1,1
312055,"Stepovak Bay Group","United States",1633,"Subduction zone / Continental crust (>25 km)",0,0
312060,"Kupreanof","United States",1895,"Subduction zone / Continental crust (>25 km)",0,0
312070,"Veniaminof","United States",2507,"Subduction zone / Continental crust (>25 km)",24,24
312080,"Black Peak","United States",1032,"Subduction zone / Continental crust (>25 km)",1,1
312090,"Aniakchak","United States",1341,"Subduction zone / Continental crust (>25 km)",16,16
312100,"Yantarni","United States",1345,"Subduction zone / Continental crust (>25 km)",1,1
312110,"Chiginagak","United States",2221,"Subduction zone / Continental crust (>25 km)",2,2
312120,"Kialagvik","United States",1677,"Subduction zone / Continental crust (>25 km)",0,0
312130,"Ugashik-Peulik","United States",1474,"Subduction zone / Continental crust (>25 km)",4,4
312131,"Ukinrek Maars","United States",91,"Subduction zone / Continental crust (>25 km)",2,2
312132,"Unnamed","United States",402,"Subduction zone / Continental crust (>25 km)",0,0
312140,"Martin","United States",1863,"Subduction zone / Continental crust (>25 km)",4,4
312150,"Mageik","United States",2165,"Subduction zone / Continental crust (>25 km)",8,8
312160,"Trident","United States",1864,"Subduction zone / Continental crust (>25 km)",15,15
312170,"Katmai","United States",2047,"Subduction zone / Continental crust (>25 km)",1,1
312180,"Novarupta","United States",841,"Subduction zone / Continental crust (>25 km)",1,1
312190,"Griggs","United States",2317,"Subduction zone / Continental crust (>25 km)",1,1
312200,"Snowy Mountain","United States",2162,"Subduction zone / Continental crust (>25 km)",1,1
312210,"Denison","United States",2287,"Subduction zone / Continental crust (>25 km)",0,0
312220,"Steller","United States",2279,"Subduction zone / Continental crust (>25 km)",0,0
312230,"Kukak","United States",2043,"Subduction zone / Continental crust (>25 km)",0,0
312250,"Kaguyak","United States",901,"Subduction zone / Continental crust (>25 km)",2,2
312260,"Fourpeaked","United States",2105,"Subduction zone / Continental crust (>25 km)",1,1
312270,"Douglas","United States",2140,"Subduction zone / Continental crust (>25 km)",0,0
313010,"Augustine","United States",1218,"Subduction zone / Continental crust (>25 km)",22,22
313020,"Iliamna","United States",3053,"Subduction zone / Continental crust (>25 km)",7,7
313030,"Redoubt","United States",3108,"Subduction zone / Continental crust (>25 km)",97,97
313040,"Spurr","United States",3374,"Subduction zone / Continental crust (>25 km)",7,7
313050,"Hayes","United States",3034,"Subduction zone / Continental crust (>25 km)",3,3
314010,"St. Paul Island","United States",203,"Intraplate / Continental crust (>25 km)",1,1
314030,"Ingakslugwat Hills","United States",190,"Intraplate / Continental crust (>25 km)",0,0
314040,"St. Michael","United States",715,"Intraplate / Continental crust (>25 km)",0,0
314060,"Imuruk Lake","United States",610,"Intraplate / Continental crust (>25 km)",1,1
315001,"Buzzard Creek","United States",830,"Subduction zone / Continental crust (>25 km)",1,1
315020,"Wrangell","United States",4278,"Intraplate / Continental crust (>25 km)",5,5
315030,"Churchill","United States",5005,"Intraplate / Continental crust (>25 km)",2,2
315040,"Edgecumbe","United States",970,"Intraplate / Continental crust (>25 km)",4,4
315050,"Duncan Canal","United States",15,"Subduction zone / Continental crust (>25 km)",0,0
315060,"Tlevak Strait-Suemez Island","United States",50,"Subduction zone / Continental crust (>25 km)",0,0
315070,"Behm Canal-Rudyerd Bay","United States",500,"Intraplate / Continental crust (>25 km)",0,0
320010,"Fort Selkirk","Canada",1239,"Intraplate / Continental crust (>25 km)",0,0
320020,"Alligator Lake","Canada",2217,"Intraplate / Continental crust (>25 km)",0,0
320030,"Atlin Volcanic Field","Canada",1880,"Intraplate / Continental crust (>25 km)",0,0
320031,"Tuya Volcanic Field","Canada",2123,"Intraplate / Continental crust (>25 km)",0,0
320040,"Heart Peaks","Canada",2012,"Intraplate / Continental crust (>25 km)",0,0
320050,"Level Mountain","Canada",2164,"Intraplate / Continental crust (>25 km)",0,0
320060,"Edziza","Canada",2786,"Intraplate / Continental crust (>25 km)",4,4
320070,"Spectrum Range","Canada",2430,"Intraplate / Continental crust (>25 km)",0,0
320080,"Hoodoo Mountain","Canada",1850,"Intraplate / Continental crust (>25 km)",1,1
320090,"Iskut-Unuk River Cones","Canada",1880,"Intraplate / Continental crust (>25 km)",7,7
320100,"Tseax River Cone","Canada",612,"Intraplate / Continental crust (>25 km)",2,2
320110,"Crow Lagoon","Canada",335,"Intraplate / Continental crust (>25 km)",0,0
320120,"Milbanke Sound Group","Canada",233,"Intraplate / Continental crust (>25 km)",0,0
320140,"Nazko","Canada",1238,"Intraplate / Continental crust (>25 km)",1,1
320150,"Wells Gray-Clearwater","Canada",950,"Intraplate / Continental crust (>25 km)",2,2
320160,"Silverthrone","Canada",2860,"Subduction zone / Continental crust (>25 km)",0,0
320170,"Bridge River Cones","Canada",2500,"Subduction zone / Continental crust (>25 km)",0,0
320180,"Meager","Canada",2680,"Subduction zone / Continental crust (>25 km)",1,1
320190,"Garibaldi Lake","Canada",2316,"Subduction zone / Continental crust (>25 km)",0,0
320200,"Garibaldi","Canada",2678,"Subduction zone / Continental crust (>25 km)",1,1
320811,"Cayley Volcanic Field","Canada",2375,"Subduction zone / Continental crust (>25 km)",0,0
321010,"Baker","United States",3285,"Subduction zone / Continental crust (>25 km)",11,11
321020,"Glacier Peak","United States",3213,"Subduction zone / Continental crust (>25 km)",6,6
321030,"Rainier","United States",4392,"Subduction zone / Continental crust (>25 km)",20,20
321040,"Adams","United States",3742,"Subduction zone / Continental crust (>25 km)",15,15
321050,"St. Helens","United States",2549,"Subduction zone / Continental crust (>25 km)",40,40
321060,"West Crater","United States",1329,"Subduction zone / Continental crust (>25 km)",2,2
321070,"Indian Heaven","United States",1806,"Subduction zone / Continental crust (>25 km)",1,1
322010,"Hood","United States",3426,"Subduction zone / Continental crust (>25 km)",5,5
322020,"Jefferson","United States",3199,"Subduction zone / Continental crust (>25 km)",2,2
322030,"Blue Lake Crater","United States",1136,"Subduction zone / Continental crust (>25 km)",1,1
322040,"Sand Mountain Field","United States",1664,"Subduction zone / Continental crust (>25 km)",2,2
322060,"Belknap","United States",2094,"Subduction zone / Continental crust (>25 km)",4,4
322070,"Three Sisters","United States",3159,"Subduction zone / Continental crust (>25 km)",6,6
322090,"Bachelor","United States",2763,"Subduction zone / Continental crust (>25 km)",1,1
322100,"Davis Lake","United States",2163,"Subduction zone / Continental crust (>25 km)",1,1
322110,"Newberry","United States",2434,"Subduction zone / Continental crust (>25 km)",11,11
322120,"Devils Garden","United States",1698,"Rift zone / Continental crust (>25 km)",0,0
322150,"Cinnamon Butte","United States",1958,"Subduction zone / Continental crust (>25 km)",0,0
322160,"Crater Lake","United States",2487,"Subduction zone / Continental crust (>25 km)",5,5
322170,"Diamond Craters","United States",1435,"Rift zone / Continental crust (>25 km)",1,1
322190,"Jordan Craters","United States",1473,"Rift zone / Continental crust (>25 km)",1,1
323010,"Shasta","United States",4317,"Subduction zone / Continental crust (>25 km)",22,22
323020,"Medicine Lake","United States",2412,"Subduction zone / Continental crust (>25 km)",9,9
323080,"Lassen Volcanic Center","United States",3187,"Subduction zone / Continental crust (>25 km)",5,5
323100,"Clear Lake Volcanic Field","United States",1439,"Subduction zone / Continental crust (>25 km)",0,0
323110,"Mono Lake Volcanic Field","United States",2121,"Rift zone / Continental crust (>25 km)",4,4
323120,"Mono-Inyo Craters","United States",2796,"Rift zone / Continental crust (>25 km)",13,13
323150,"Mammoth Mountain","United States",3369,"Rift zone / Continental crust (>25 km)",2,2
323160,"Ubehebe Craters","United States",752,"Rift zone / Continental crust (>25 km)",1,1
323200,"Salton Buttes","United States",-40,"Rift zone / Continental crust (>25 km)",3,3
324010,"Black Butte Crater Lava Field","United States",1478,"Rift zone / Continental crust (>25 km)",1,1
324020,"Craters of the Moon","United States",2005,"Rift zone / Continental crust (>25 km)",14,14
324030,"Wapi Lava Field","United States",1597,"Rift zone / Continental crust (>25 km)",1,1
324040,"Hell's Half Acre","United States",1632,"Rift zone / Continental crust (>25 km)",1,1
326010,"Soda Lakes","United States",1251,"Rift zone / Continental crust (>25 km)",0,0
327040,"Markagunt Plateau","United States",2840,"Rift zone / Continental crust (>25 km)",1,1
327050,"Black Rock Desert","United States",1800,"Rift zone / Continental crust (>25 km)",1,1
327110,"Carrizozo","United States",1731,"Rift zone / Continental crust (>25 km)",1,1
327120,"Zuni-Bandera","United States",2550,"Rift zone / Continental crust (>25 km)",2,2
327812,"Red Hill-Quemado","United States",2300,"Rift zone / Continental crust (>25 km)",3,3
328010,"Dotsero","United States",2230,"Rift zone / Continental crust (>25 km)",1,1
329010,"Uinkaret Field","United States",1555,"Rift zone / Continental crust (>25 km)",1,1
329020,"San Francisco Volcanic Field","United States",3850,"Rift zone / Continental crust (>25 km)",1,1
331005,"West Valley Segment","Canada",-2550,"Rift zone / Intermediate crust (15-25 km)",0,0
331010,"Endeavour Segment","Canada",-2050,"Rift zone / Oceanic crust (< 15 km)",2,2
331011,"Cobb Segment","Canada",-2100,"Rift zone / Oceanic crust (< 15 km)",1,1
331020,"CoAxial Segment","Undersea Features",-2400,"Rift zone / Oceanic crust (< 15 km)",2,2
331021,"Axial Seamount","Undersea Features",-1410,"Rift zone / Oceanic crust (< 15 km)",12,12
331030,"Cleft Segment","Undersea Features",-2140,"Rift zone / Oceanic crust (< 15 km)",3,3
331031,"North Gorda Ridge Segment","United States",-3000,"Rift zone / Oceanic crust (< 15 km)",3,3
331032,"Jackson Segment","United States",-3100,"Rift zone / Oceanic crust (< 15 km)",0,0
331040,"Escanaba Segment","United States",-1700,"Rift zone / Oceanic crust (< 15 km)",1,1
331060,"East Blanco Depression","Undersea Features",-3000,"Rift zone / Intermediate crust (15-25 km)",0,0
332000,"Kama'ehuakanaloa","United States",-975,"Intraplate / Oceanic crust (< 15 km)",4,4
332010,"Kilauea","United States",1222,"Intraplate / Oceanic crust (< 15 km)",75,75
332020,"Mauna Loa","United States",4170,"Intraplate / Oceanic crust (< 15 km)",110,110
332030,"Mauna Kea","United States",4205,"Intraplate / Oceanic crust (< 15 km)",6,6
332040,"Hualalai","United States",2523,"Intraplate / Oceanic crust (< 15 km)",22,22
332060,"Haleakala","United States",3055,"Intraplate / Oceanic crust (< 15 km)",40,40
333010,"Teahitia","France",-1743,"Intraplate / Oceanic crust (< 15 km)",4,4
333020,"Rocard","France",-2515,"Intraplate / Oceanic crust (< 15 km)",3,3
333030,"Moua Pihaa","France",-312,"Intraplate / Oceanic crust (< 15 km)",2,2
333040,"Mehetia","France",389,"Intraplate / Oceanic crust (< 15 km)",0,0
333050,"Adams Seamount","United Kingdom",-39,"Intraplate / Oceanic crust (< 15 km)",4,4
333060,"Macdonald","France",-39,"Intraplate / Oceanic crust (< 15 km)",10,10
334020,"Northern EPR at 17°N","Mexico",-2700,"Rift zone / Oceanic crust (< 15 km)",1,1
334021,"Northern EPR at 16°N","Mexico",-2300,"Rift zone / Oceanic crust (< 15 km)",1,1
334040,"Northern EPR at 10.7°N","Undersea Features",-2900,"Intraplate / Oceanic crust (< 15 km)",1,1
334050,"Northern EPR at 9.8°N","Undersea Features",-2500,"Rift zone / Oceanic crust (< 15 km)",18,18
334070,"Galapagos Rift","Ecuador",-2430,"Rift zone / Oceanic crust (< 15 km)",2,2
334100,"Southern EPR at 8°S","Undersea Features",-2800,"Rift zone / Oceanic crust (< 15 km)",1,1
334120,"Southern EPR at 17.5°S (Segment K)","Undersea Features",-2566,"Rift zone / Oceanic crust (< 15 km)",5,5
334130,"Southern EPR at 18.2°S (Segment J)","Undersea Features",-2650,"Rift zone / Oceanic crust (< 15 km)",2,2
334140,"Southern EPR at 18.5°S (Segment I)","Undersea Features",-2600,"Rift zone / Oceanic crust (< 15 km)",3,3
335020,"Hollister Ridge","Undersea Features",-1000,"Intraplate / Oceanic crust (< 15 km)",0,0
335030,"Udintsev Transform","Undersea Features",-5700,"Intraplate / Oceanic crust (< 15 km)",0,0
341000,"Prieto, Cerro","Mexico",223,"Rift zone / Continental crust (>25 km)",0,0
341001,"Pinacate","Mexico",1183,"Subduction zone / Continental crust (>25 km)",0,0
341003,"San Luis, Isla","Mexico",183,"Rift zone / Continental crust (>25 km)",3,3
341004,"Jaraguay Volcanic Field","Mexico",960,"Rift zone / Continental crust (>25 km)",0,0
341007,"San Borja Volcanic Field","Mexico",1360,"Rift zone / Continental crust (>25 km)",0,0
341011,"Tortuga, Isla","Mexico",224,"Rift zone / Continental crust (>25 km)",0,0
341012,"Comondu-La Purisima","Mexico",780,"Rift zone / Continental crust (>25 km)",0,0
341020,"Barcena","Mexico",332,"Rift zone / Oceanic crust (< 15 km)",1,1
341021,"Socorro","Mexico",1050,"Rift zone / Oceanic crust (< 15 km)",3,3
341022,"Durango Volcanic Field","Mexico",2075,"Subduction zone / Continental crust (>25 km)",0,0
341024,"Sanganguey","Mexico",2340,"Subduction zone / Continental crust (>25 km)",0,0
341030,"Ceboruco","Mexico",2280,"Subduction zone / Continental crust (>25 km)",4,4
341031,"Mascota Volcanic Field","Mexico",2525,"Subduction zone / Continental crust (>25 km)",0,0
341040,"Colima","Mexico",3850,"Subduction zone / Continental crust (>25 km)",79,79
341060,"Michoacan-Guanajuato","Mexico",3860,"Subduction zone / Continental crust (>25 km)",10,10
341061,"Zitacuaro-Valle de Bravo","Mexico",3500,"Subduction zone / Continental crust (>25 km)",1,1
341062,"Jocotitlan","Mexico",3900,"Subduction zone / Continental crust (>25 km)",2,2
341070,"Toluca, Nevado de","Mexico",4680,"Subduction zone / Continental crust (>25 km)",1,1
341080,"Chichinautzin","Mexico",3938,"Subduction zone / Continental crust (>25 km)",8,8
341082,"Iztaccihuatl","Mexico",5230,"Subduction zone / Continental crust (>25 km)",0,0
341090,"Popocatepetl","Mexico",5393,"Subduction zone / Continental crust (>25 km)",41,41
341091,"Malinche, La","Mexico",4461,"Subduction zone / Continental crust (>25 km)",7,7
341092,"Serdan-Oriental","Mexico",3485,"Subduction zone / Continental crust (>25 km)",0,0
341093,"Humeros, Los","Mexico",3150,"Subduction zone / Continental crust (>25 km)",1,1
341094,"Atlixcos, Los","Mexico",775,"Subduction zone / Continental crust (>25 km)",0,0
341095,"Naolinco Volcanic Field","Mexico",2000,"Subduction zone / Continental crust (>25 km)",1,1
341096,"Cofre de Perote","Mexico",4282,"Subduction zone / Continental crust (>25 km)",1,1
341097,"Gloria, La","Mexico",3500,"Subduction zone / Continental crust (>25 km)",0,0
341098,"Cumbres,  Las","Mexico",3940,"Subduction zone / Continental crust (>25 km)",1,1
341100,"Orizaba, Pico de","Mexico",5564,"Subduction zone / Continental crust (>25 km)",23,23
341110,"San Martin","Mexico",1650,"Subduction zone / Continental crust (>25 km)",12,12
341120,"Chichon, El","Mexico",1150,"Subduction zone / Continental crust (>25 km)",13,13
341130,"Tacana","Mexico-Guatemala",4064,"Subduction zone / Continental crust (>25 km)",10,10
342020,"Tajumulco","Guatemala",4203,"Subduction zone / Continental crust (>25 km)",0,0
342030,"Santa Maria","Guatemala",3745,"Subduction zone / Continental crust (>25 km)",3,3
342040,"Almolonga","Guatemala",3173,"Subduction zone / Continental crust (>25 km)",3,3
342060,"Atitlan","Guatemala",3535,"Subduction zone / Continental crust (>25 km)",13,13
342070,"Toliman","Guatemala",3158,"Subduction zone / Continental crust (>25 km)",0,0
342080,"Acatenango","Guatemala",3976,"Subduction zone / Continental crust (>25 km)",8,8
342090,"Fuego","Guatemala",3799,"Subduction zone / Continental crust (>25 km)",61,61
342100,"Agua","Guatemala",3760,"Subduction zone / Continental crust (>25 km)",0,0
342110,"Pacaya","Guatemala",2569,"Subduction zone / Continental crust (>25 km)",32,32
342111,"Cuilapa-Barbarena","Guatemala",1454,"Subduction zone / Continental crust (>25 km)",0,0
342120,"Tecuamburro","Guatemala",1845,"Subduction zone / Continental crust (>25 km)",1,1
342121,"Jumaytepeque","Guatemala",1802,"Subduction zone / Continental crust (>25 km)",0,0
342130,"Moyuta","Guatemala",1662,"Subduction zone / Continental crust (>25 km)",0,0
342140,"Flores","Guatemala",1600,"Subduction zone / Continental crust (>25 km)",0,0
342141,"Tahual","Guatemala",1716,"Subduction zone / Continental crust (>25 km)",0,0
342150,"Santiago, Cerro","Guatemala",1192,"Subduction zone / Continental crust (>25 km)",0,0
342160,"Suchitan","Guatemala",2042,"Subduction zone / Continental crust (>25 km)",0,0
342170,"Chingo","Guatemala-El Salvador",1775,"Subduction zone / Continental crust (>25 km)",0,0
342180,"Ixtepeque","Guatemala",1292,"Subduction zone / Continental crust (>25 km)",0,0
343002,"Singuil, Cerro","El Salvador",926,"Subduction zone / Continental crust (>25 km)",0,0
343010,"Apaneca Range","El Salvador",2028,"Subduction zone / Continental crust (>25 km)",0,0
343020,"Santa Ana","El Salvador",2381,"Subduction zone / Continental crust (>25 km)",13,13
343030,"Izalco","El Salvador",1950,"Subduction zone / Continental crust (>25 km)",51,51
343041,"Coatepeque Caldera","El Salvador",746,"Subduction zone / Continental crust (>25 km)",0,0
343050,"San Salvador","El Salvador",1893,"Subduction zone / Continental crust (>25 km)",5,5
343051,"Cinotepeque, Cerro","El Salvador",665,"Subduction zone / Continental crust (>25 km)",0,0
343060,"Ilopango","El Salvador",450,"Subduction zone / Continental crust (>25 km)",2,2
343070,"San Vicente","El Salvador",2149,"Subduction zone / Continental crust (>25 km)",0,0
343072,"Taburete","El Salvador",1172,"Subduction zone / Continental crust (>25 km)",0,0
343080,"Tecapa","El Salvador",1593,"Subduction zone / Continental crust (>25 km)",0,0
343081,"Usulutan","El Salvador",1449,"Subduction zone / Continental crust (>25 km)",0,0
343082,"Tigre, El","El Salvador",1640,"Subduction zone / Continental crust (>25 km)",0,0
343090,"Chinameca","El Salvador",1300,"Subduction zone / Continental crust (>25 km)",0,0
343100,"San Miguel","El Salvador",2130,"Subduction zone / Continental crust (>25 km)",41,41
343101,"Aramuaca, Laguna","El Salvador",181,"Subduction zone / Continental crust (>25 km)",0,0
343130,"Tigre, Isla del","Honduras",774,"Subduction zone / Continental crust (>25 km)",0,0
343140,"Zacate Grande, Isla","Honduras",640,"Subduction zone / Continental crust (>25 km)",0,0
343150,"Yojoa, Lago","Honduras",1060,"Subduction zone / Continental crust (>25 km)",2,2
344010,"Cosiguina","Nicaragua",872,"Subduction zone / Continental crust (>25 km)",5,5
344020,"San Cristobal","Nicaragua",1745,"Subduction zone / Continental crust (>25 km)",35,35
344040,"Telica","Nicaragua",1036,"Subduction zone / Continental crust (>25 km)",47,47
344070,"Negro, Cerro","Nicaragua",728,"Subduction zone / Continental crust (>25 km)",23,23
344080,"Las Pilas-El Hoyo Complex","Nicaragua",1088,"Subduction zone / Continental crust (>25 km)",3,3
344090,"Momotombo","Nicaragua",1270,"Subduction zone / Continental crust (>25 km)",19,19
344091,"Apoyeque","Nicaragua",518,"Subduction zone / Continental crust (>25 km)",4,4
