"Volcano_Number","Volcano_Name","Country","Elevation_(m)","Tectonic_Setting","eruption_count","risk_score"
268062,"Mare","Indonesia",308,"Subduction zone / Oceanic crust (< 15 km)",0,0
268063,"Moti","Indonesia",927,"Subduction zone / Oceanic crust (< 15 km)",0,0
268070,"Kie Besi","Indonesia",1357,"Subduction zone / Oceanic crust (< 15 km)",8,8
268071,"Tigalalu","Indonesia",422,"Subduction zone / Oceanic crust (< 15 km)",0,0
268072,"Amasing","Indonesia",1006,"Subduction zone / Oceanic crust (< 15 km)",0,0
268073,"Bibinoi","Indonesia",932,"Subduction zone / Oceanic crust (< 15 km)",0,0
271011,"Melebingoy","Philippines",1824,"Subduction zone / Continental crust (>25 km)",3,3
271020,"Matutum","Philippines",2262,"Subduction zone / Continental crust (>25 km)",3,3
271031,"Leonard Range","Philippines",1080,"Subduction zone / Continental crust (>25 km)",3,3
271040,"Makaturing","Philippines",1818,"Subduction zone / Continental crust (>25 km)",2,2
271060,"Ragang","Philippines",2790,"Subduction zone / Continental crust (>25 km)",8,8
271070,"Musuan","Philippines",610,"Subduction zone / Continental crust (>25 km)",0,0
271080,"Camiguin","Philippines",1552,"Subduction zone / Continental crust (>25 km)",4,4
272020,"Kanlaon","Philippines",2422,"Subduction zone / Continental crust (>25 km)",31,31
272050,"Cabalían","Philippines",912,"Subduction zone / Continental crust (>25 km)",1,1
272080,"Biliran","Philippines",1301,"Subduction zone / Continental crust (>25 km)",1,1
273010,"Bulusan","Philippines",1535,"Subduction zone / Continental crust (>25 km)",25,25
273030,"Mayon","Philippines",2462,"Subduction zone / Continental crust (>25 km)",65,65
273041,"Iriga","Philippines",1138,"Subduction zone / Continental crust (>25 km)",0,0
273042,"Isarog","Philippines",1966,"Subduction zone / Continental crust (>25 km)",1,1
273050,"Banahaw","Philippines",2158,"Subduction zone / Continental crust (>25 km)",0,0
273060,"San Pablo Volcanic Field","Philippines",1090,"Subduction zone / Continental crust (>25 km)",1,1
273070,"Taal","Philippines",311,"Subduction zone / Continental crust (>25 km)",39,39
273083,"Pinatubo","Philippines",1486,"Subduction zone / Continental crust (>25 km)",9,9
273090,"Cagua","Philippines",1133,"Subduction zone / Continental crust (>25 km)",1,1
274010,"Camiguin de Babuyanes","Philippines",712,"Subduction zone / Crustal thickness unknown",1,1
274020,"Didicas","Philippines",228,"Subduction zone / Crustal thickness unknown",5,5
274030,"Babuyan Claro","Philippines",1064,"Subduction zone / Crustal thickness unknown",7,7
274060,"Iraya","Philippines",1009,"Subduction zone / Crustal thickness unknown",3,3
275001,"Hainan Volcanic Field","China",196,"Intraplate / Continental crust (>25 km)",2,2
275020,"Ly Son Group","Vietnam",157,"Intraplate / Continental crust (>25 km)",0,0
275060,"Cendres, Ile des","Vietnam",-20,"Intraplate / Continental crust (>25 km)",1,1
275080,"Popa","Burma (Myanmar)",1518,"Intraplate / Continental crust (>25 km)",1,1
275110,"Tengchong","China",2865,"Intraplate / Continental crust (>25 km)",1,1
281031,"Kueishantao","Taiwan",361,"Subduction zone / Continental crust (>25 km)",2,2
281032,"Tatun Volcanic Group","Taiwan",1120,"Subduction zone / Continental crust (>25 km)",2,2
282010,"Submarine Volcano NNE of Iriomotejima","Japan",-200,"Subduction zone / Oceanic crust (< 15 km)",1,1
282020,"Io-Torishima","Japan",212,"Subduction zone / Oceanic crust (< 15 km)",9,9
282021,"Yokoatejima","Japan",495,"Subduction zone / Oceanic crust (< 15 km)",1,1
282022,"Akusekijima","Japan",555,"Subduction zone / Oceanic crust (< 15 km)",0,0
282030,"Suwanosejima","Japan",796,"Subduction zone / Oceanic crust (< 15 km)",24,24
282040,"Nakanoshima","Japan",979,"Subduction zone / Oceanic crust (< 15 km)",1,1
282043,"Kuchinoshima","Japan",628,"Subduction zone / Oceanic crust (< 15 km)",4,4
282050,"Kuchinoerabujima","Japan",657,"Subduction zone / Oceanic crust (< 15 km)",29,29
